Périodes,,2025,2024,2023,2022,2021,2020,2019,2018,2017
Milieu,Provinces/Préfectures,,,,,,,,,
,El Kelâa des Sraghna,39.0,41.6,40.3,43.5,45.9,46.9,49.6,49.6,52.2
,Essaouira,43.0,42.8,46.3,49.9,54.1,55.2,57.6,58.1,59.2
,Marrakech,43.1,43.5,44.0,44.2,44.0,44.7,47.6,45.1,45.4
,Rehamna,45.0,45.4,47.7,47.0,51.0,47.0,49.9,50.3,51.7
,Safi,46.0,47.4,49.2,52.9,56.7,52.3,50.6,51.9,53.8
,Youssoufia,38.2,40.3,42.1,50.7,52.5,50.5,53.9,51.9,50.0
,Errachidia,32.2,29.8,32.5,31.1,37.0,34.5,37.4,35.7,35.6
,Midelt,47.2,48.5,49.6,51.8,54.5,54.3,55.9,58.1,55.4
,Ouarzazate,45.4,47.1,45.3,46.9,49.7,46.2,47.3,46.4,44.8
,Tinghir,40.4,39.6,37.6,39.7,41.8,37.3,38.4,41.8,40.9
,Zagora,37.1,35.0,36.9,33.3,38.8,36.1,41.3,35.1,33.4
,Agadir-Ida-Ou-Tanane,32.6,32.6,33.9,35.1,41.3,41.1,41.3,38.8,46.0
,Chtouka-Ait Baha,39.1,38.7,36.2,37.2,42.5,38.2,40.8,44.3,43.8
,Inezgane-Ait Melloul,35.9,32.4,32.6,31.1,30.3,39.6,39.1,40.8,39.3
,Taroudannt,35.1,34.9,33.3,34.9,39.0,40.2,43.6,45.2,45.8
,Tata,29.7,28.1,20.8,21.7,27.3,33.9,33.3,34.1,32.7
,Tiznit,24.2,24.8,25.7,25.4,32.0,31.4,31.5,32.0,35.4
,Assa-Zag,,,,,,,,,
,Guelmim,33.8,27.0,31.5,33.1,40.6,37.8,46.8,41.8,44.1
,Sidi Ifni,37.5,36.3,36.2,34.4,39.2,39.5,47.8,37.8,41.5
,Tan-Tan,,,,,,,,,
,Boujdour,,,,,,,,,
,Es-Semara,,,,,,,,,
,Laâyoune,,,,,,,,,
,Tarfaya,,,,,,,,,
,Oued Ed-Dahab,,,,,,78.2,,,
